asset_id,date,name,end_date,ann_date,change_reason,source_id,available_at,decision_time
002358.SZ,20230321,森源电气,,20230318,撤销ST,tushare,20230318T16:00:00+08:00,20230318T09:00:00+08:00
300390.SZ,20230321,天华新能,,20230320,改名,tushare,20230320T16:00:00+08:00,20230320T09:00:00+08:00
600506.SH,20230320,统一股份,,20230315,改名,tushare,20230315T16:00:00+08:00,20230315T09:00:00+08:00
600753.SH,20230320,庚星股份,,20230315,改名,tushare,20230315T16:00:00+08:00,20230315T09:00:00+08:00
600877.SH,20230317,电科芯片,,20230314,改名,tushare,20230314T16:00:00+08:00,20230314T09:00:00+08:00
300716.SZ,20230313,泉为科技,,20230310,改名,tushare,20230310T16:00:00+08:00,20230310T09:00:00+08:00
834021.BJ,20230307,流金科技,,20230302,改名,tushare,20230302T16:00:00+08:00,20230302T09:00:00+08:00
920021.BJ,20230307,流金科技,,20230302,改名,tushare,20230302T16:00:00+08:00,20230302T09:00:00+08:00
600876.SH,20230303,凯盛新能,,20230228,改名,tushare,20230228T16:00:00+08:00,20230228T09:00:00+08:00
300391.SZ,20230303,长药控股,,20230303,改名,tushare,20230303T16:00:00+08:00,20230303T09:00:00+08:00
688091.SH,20230302,上海谊众,,20230301,其他,tushare,20230301T16:00:00+08:00,20230301T09:00:00+08:00
603203.SH,20230301,快克智能,,20230224,其他,tushare,20230224T16:00:00+08:00,20230224T09:00:00+08:00
002122.SZ,20230228,天马股份,,20230227,撤销ST,tushare,20230227T16:00:00+08:00,20230227T09:00:00+08:00
603003.SH,20230220,龙宇股份,,20230215,改名,tushare,20230215T16:00:00+08:00,20230215T09:00:00+08:00
000791.SZ,20230217,甘肃能源,,20230217,其他,tushare,20230217T16:00:00+08:00,20230217T09:00:00+08:00
600165.SH,20230206,宁科生物,,20230131,改名,tushare,20230131T16:00:00+08:00,20230131T09:00:00+08:00
300555.SZ,20230201,ST路通,,20230131,ST,tushare,20230131T16:00:00+08:00,20230131T09:00:00+08:00
002089.SZ,20230118,*ST新海,,20230117,*ST,tushare,20230117T16:00:00+08:00,20230117T09:00:00+08:00
000981.SZ,20230112,山子股份,,20230112,改名,tushare,20230112T16:00:00+08:00,20230112T09:00:00+08:00
002268.SZ,20230111,电科网安,,20230111,改名,tushare,20230111T16:00:00+08:00,20230111T09:00:00+08:00
002122.SZ,20230110,ST天马,,20230107,撤销*ST,tushare,20230107T16:00:00+08:00,20230107T09:00:00+08:00
600901.SH,20230109,江苏金租,,20230104,其他,tushare,20230104T16:00:00+08:00,20230104T09:00:00+08:00
002647.SZ,20250103,*ST仁东,,20241231,*ST,tushare,20241231T16:00:00+08:00,20241231T09:00:00+08:00
300387.SZ,20250102,富邦科技,,20241231,其他,tushare,20241231T16:00:00+08:00,20241231T09:00:00+08:00
003027.SZ,20241226,同兴科技,,20241226,其他,tushare,20241226T16:00:00+08:00,20241226T09:00:00+08:00
600807.SH,20241219,济高发展,,20241214,其他,tushare,20241214T16:00:00+08:00,20241214T09:00:00+08:00
000525.SZ,20241218,ST红太阳,,20241217,ST,tushare,20241217T16:00:00+08:00,20241217T09:00:00+08:00
603983.SH,20241212,丸美生物,,20241209,其他,tushare,20241209T16:00:00+08:00,20241209T09:00:00+08:00
300097.SZ,20241212,ST智云,,20241211,ST,tushare,20241211T16:00:00+08:00,20241211T09:00:00+08:00
300165.SZ,20241210,ST天瑞,,20241209,ST,tushare,20241209T16:00:00+08:00,20241209T09:00:00+08:00
000785.SZ,20241210,居然智家,,20241210,改名,tushare,20241210T16:00:00+08:00,20241210T09:00:00+08:00
600589.SH,20241203,大位科技,,20241128,改名,tushare,20241128T16:00:00+08:00,20241128T09:00:00+08:00
301188.SZ,20241125,力诺药包,,20241122,改名,tushare,20241122T16:00:00+08:00,20241122T09:00:00+08:00
300176.SZ,20241121,鸿特科技,,20241120,改名,tushare,20241120T16:00:00+08:00,20241120T09:00:00+08:00
600067.SH,20241119,冠城新材,,20241114,改名,tushare,20241114T16:00:00+08:00,20241114T09:00:00+08:00
002388.SZ,20241113,ST新亚,,20241112,ST,tushare,20241112T16:00:00+08:00,20241112T09:00:00+08:00
300137.SZ,20241112,ST先河,,20241111,ST,tushare,20241111T16:00:00+08:00,20241111T09:00:00+08:00
002602.SZ,20241108,ST华通,,20241107,ST,tushare,20241107T16:00:00+08:00,20241107T09:00:00+08:00
603300.SH,20241106,海南华铁,,20241101,改名,tushare,20241101T16:00:00+08:00,20241101T09:00:00+08:00
688287.SH,20241104,ST观典,,20241101,其他,tushare,20241101T16:00:00+08:00,20241101T09:00:00+08:00
600225.SH,20241101,*ST卓朗,,20241031,*ST,tushare,20241031T16:00:00+08:00,20241031T09:00:00+08:00
000796.SZ,20241029,凯撒旅业,,20241026,撤销ST,tushare,20241026T16:00:00+08:00,20241026T09:00:00+08:00
300419.SZ,20241029,ST浩丰,,20241028,ST,tushare,20241028T16:00:00+08:00,20241028T09:00:00+08:00
601226.SH,20241025,华电科工,,20241022,改名,tushare,20241022T16:00:00+08:00,20241022T09:00:00+08:00
002251.SZ,20241016,ST步步高,,20241015,ST,tushare,20241015T16:00:00+08:00,20241015T09:00:00+08:00
300427.SZ,20241009,红相股份,,20241001,撤销*ST,tushare,20241001T16:00:00+08:00,20241001T09:00:00+08:00
300378.SZ,20240923,鼎捷数智,,20240920,改名,tushare,20240920T16:00:00+08:00,20240920T09:00:00+08:00
603800.SH,20240920,洪田股份,,20240913,改名,tushare,20240913T16:00:00+08:00,20240913T09:00:00+08:00
002168.SZ,20240919,ST惠程,,20240914,ST,tushare,20240914T16:00:00+08:00,20240914T09:00:00+08:00
000525.SZ,20240919,*ST红阳,,20240918,*ST,tushare,20240918T16:00:00+08:00,20240918T09:00:00+08:00
